nameuser,ipint,usergroup,country,usermac,userworkstation,firstname,lastname,usercity
terrance_nicholson,10.9.201.96,ServiceAccounts,de,1D:AD:19:F5:C0:83,ws-terrance_nicholson,TERRANCE,NICHOLSON,Munich
nell_guzman,10.11.101.46,Devices,cz,9C:96:84:C3:EB:61,ws-nell_guzman,NELL,GUZMAN,Prague
isaac_page,10.3.143.80,T0-Accounts,us,BF:0A:9C:04:DA:A8,ws-isaac_page,ISAAC,PAGE,Austin
jasper_french,10.8.145.242,Devices,ie,0C:00:D7:71:83:B4,ws-jasper_french,JASPER,FRENCH,Galway
cary_fox,10.7.31.103,ServiceAccounts,ie,9B:46:C6:8B:A3:EC,ws-cary_fox,CARY,FOX,Dublin
sonya_turner,10.14.145.38,ServiceAccounts,il,C0:6E:70:15:B4:42,ws-sonya_turner,SONYA,TURNER,Tel Aviv
jame_watson,10.14.224.9,TST,il,AB:25:5E:A0:08:E6,ws-jame_watson,JAME,WATSON,Tel Aviv
abigail_powell,10.10.138.55,.SecFrame.com,fr,2C:2D:BC:89:1A:74,ws-abigail_powell,ABIGAIL,POWELL,Paris
jonas_jones,10.9.175.51,Tier 2,de,B1:4E:31:56:F3:0F,ws-jonas_jones,JONAS,JONES,Munich
jenna_goodwin,10.7.78.89,ESM,ie,5C:E4:0D:ED:20:AA,ws-jenna_goodwin,JENNA,GOODWIN,Dublin
marcel_wyatt,10.8.77.28,Devices,ie,C6:ED:D2:01:49:74,ws-marcel_wyatt,MARCEL,WYATT,Galway
mohammed_collins,10.6.51.80,Test,ie,BB:9E:DC:2F:A7:26,ws-mohammed_collins,MOHAMMED,COLLINS,Belfast
milo_bruce,10.2.253.12,ServiceAccounts,us,3F:6D:4C:0C:16:6D,ws-milo_bruce,MILO,BRUCE,Arlington
rigoberto_mills,10.11.31.161,T1-Permissions,cz,5E:7C:1C:BA:10:04,ws-rigoberto_mills,RIGOBERTO,MILLS,Prague
morton_reeves,10.11.28.195,T1-Servers,cz,40:1B:93:0F:C1:F0,ws-morton_reeves,MORTON,REEVES,Prague
karl_meyer,10.1.189.184,ITS,us,3C:26:D5:4A:E1:14,ws-karl_meyer,KARL,MEYER,Boston
danielle_gates,10.4.99.139,SEC,us,CF:5F:C6:03:07:84,ws-danielle_gates,DANIELLE,GATES,Tampa
faustino_whitaker,10.14.117.149,OGC,il,0A:6B:53:4E:EA:CD,ws-faustino_whitaker,FAUSTINO,WHITAKER,Tel Aviv
jaime_schmidt,10.12.112.139,OGC,au,F7:F0:CB:77:B6:DA,ws-jaime_schmidt,JAIME,SCHMIDT,Melbourne
stacey_conway,10.3.35.75,Groups,us,89:FC:38:6F:98:85,ws-stacey_conway,STACEY,CONWAY,Austin
heath_joyner,10.5.243.191,ServiceAccounts,gb,09:16:04:4C:9B:5D,ws-heath_joyner,HEATH,JOYNER,Reading
chelsea_forbes,10.7.92.253,ServiceAccounts,ie,71:BF:28:A6:6C:F3,ws-chelsea_forbes,CHELSEA,FORBES,Dublin
minnie_bolton,10.11.181.202,FSR,cz,E3:08:B0:F7:8C:92,ws-minnie_bolton,MINNIE,BOLTON,Prague
micheal_parsons,10.7.109.242,Groups,ie,81:58:9F:6F:10:95,ws-micheal_parsons,MICHEAL,PARSONS,Dublin
jack_barker,10.11.47.110,Devices,cz,3C:C9:CC:16:2C:A6,ws-jack_barker,JACK,BARKER,Prague
herminia_blair,10.15.253.225,FSR,jp,F8:25:27:D7:65:CE,ws-herminia_blair,HERMINIA,BLAIR,Tokyo
gladys_hewitt,10.12.73.205,Test,au,BC:1D:81:65:9A:99,ws-gladys_hewitt,GLADYS,HEWITT,Melbourne
evangeline_robles,10.12.161.128,AZR,au,45:17:AA:8A:3B:7E,ws-evangeline_robles,EVANGELINE,ROBLES,Melbourne
ursula_lindsay,10.12.154.92,Groups,au,E2:F8:E2:CD:EB:9D,ws-ursula_lindsay,URSULA,LINDSAY,Melbourne
douglas_steele,10.7.103.2,GOO,ie,24:B3:20:5D:3B:57,ws-douglas_steele,DOUGLAS,STEELE,Dublin
pearlie_richards,10.4.21.47,ServiceAccounts,us,06:B3:C4:99:2E:3A,ws-pearlie_richards,PEARLIE,RICHARDS,Tampa
sammy_nicholson,10.5.29.181,Devices,gb,0F:C5:4C:9C:DE:C3,ws-sammy_nicholson,SAMMY,NICHOLSON,Reading
francis_schwartz,10.16.94.19,Test,in,D7:33:7C:5B:52:34,ws-francis_schwartz,FRANCIS,SCHWARTZ,Bangalore
barbara_owen,10.2.225.170,Test,us,B9:A3:68:75:3D:C2,ws-barbara_owen,BARBARA,OWEN,Arlington
beryl_key,10.12.109.250,HRE,au,B5:F2:FB:FE:EA:E8,ws-beryl_key,BERYL,KEY,Melbourne
norris_madden,10.6.92.74,FIN,ie,C7:1E:47:E2:84:53,ws-norris_madden,NORRIS,MADDEN,Belfast
kent_hinton,10.5.34.226,Groups,gb,0C:78:01:1B:8E:C3,ws-kent_hinton,KENT,HINTON,Reading
earline_jimenez,10.3.76.104,Groups,us,4B:03:6F:B6:D5:45,ws-earline_jimenez,EARLINE,JIMENEZ,Austin
carolina_rogers,10.14.95.68,Devices,il,88:3C:00:8A:A2:59,ws-carolina_rogers,CAROLINA,ROGERS,Tel Aviv
cruz_walker,10.4.85.34,SEC,us,E4:13:34:E5:29:94,ws-cruz_walker,CRUZ,WALKER,Tampa
sandy_hebert,10.3.213.57,TST,us,3E:DA:34:DA:45:D8,ws-sandy_hebert,SANDY,HEBERT,Austin
eduardo_thomas,10.5.152.176,Devices,gb,B0:EE:6C:93:AB:94,ws-eduardo_thomas,EDUARDO,THOMAS,Reading
fanny_lynn,10.13.124.54,Test,sg,8F:7B:8E:19:55:D4,ws-fanny_lynn,FANNY,LYNN,Singapore
jeremy_farley,10.10.112.161,OGC,fr,3D:DF:3A:DD:4E:48,ws-jeremy_farley,JEREMY,FARLEY,Paris
willa_mitchell,10.13.210.208,Groups,sg,A6:2C:35:24:94:79,ws-willa_mitchell,WILLA,MITCHELL,Singapore
hans_ray,10.9.189.47,Devices,de,B8:24:15:CE:2F:43,ws-hans_ray,HANS,RAY,Munich
lindsay_finch,10.6.144.208,ServiceAccounts,ie,AF:16:B4:23:A4:D4,ws-lindsay_finch,LINDSAY,FINCH,Belfast
clair_elliott,10.3.76.77,Test,us,59:0F:DE:38:82:24,ws-clair_elliott,CLAIR,ELLIOTT,Austin
aileen_kramer,10.2.82.253,Devices,us,66:F8:9D:C3:C0:B8,ws-aileen_kramer,AILEEN,KRAMER,Arlington
linwood_leon,10.10.224.41,.SecFrame.com,fr,E0:6A:06:BB:8F:B3,ws-linwood_leon,LINWOOD,LEON,Paris
heriberto_solomon,10.4.100.25,ServiceAccounts,us,5D:E4:F0:ED:2D:49,ws-heriberto_solomon,HERIBERTO,SOLOMON,Tampa
russ_holloway,10.12.194.198,Devices,au,ED:CE:9B:A3:1C:D2,ws-russ_holloway,RUSS,HOLLOWAY,Melbourne
jerold_jones,10.9.225.213,Groups,de,9A:B8:64:21:00:E7,ws-jerold_jones,JEROLD,JONES,Munich
lillie_leonard,10.11.80.26,Groups,cz,25:CC:EC:0F:29:EA,ws-lillie_leonard,LILLIE,LEONARD,Prague
reba_montgomery,10.9.243.228,FSR,de,A0:AD:9B:10:10:61,ws-reba_montgomery,REBA,MONTGOMERY,Munich
everette_goodwin,10.8.195.80,SEC,ie,7D:EB:68:D7:2F:06,ws-everette_goodwin,EVERETTE,GOODWIN,Galway
wayne_carlson,10.11.46.136,Groups,cz,F9:19:CB:F4:3F:85,ws-wayne_carlson,WAYNE,CARLSON,Prague
marva_morton,10.9.117.51,ServiceAccounts,de,CB:B5:97:F5:4F:E1,ws-marva_morton,MARVA,MORTON,Munich
rory_mckenzie,10.15.125.169,ServiceAccounts,jp,F6:42:84:3B:F5:17,ws-rory_mckenzie,RORY,MCKENZIE,Tokyo
mohammed_golden,10.7.114.223,Groups,ie,61:CF:EC:86:36:16,ws-mohammed_golden,MOHAMMED,GOLDEN,Dublin
jennifer_kramer,10.6.246.194,ServiceAccounts,ie,4C:50:75:43:54:BC,ws-jennifer_kramer,JENNIFER,KRAMER,Belfast
rudolph_maxwell,10.13.205.123,ServiceAccounts,sg,4B:11:DD:96:D1:B3,ws-rudolph_maxwell,RUDOLPH,MAXWELL,Singapore
jill_moody,10.7.158.180,Devices,ie,39:CF:A7:2C:07:8E,ws-jill_moody,JILL,MOODY,Dublin
chelsea_duran,10.2.104.245,Devices,us,36:D3:74:94:0C:DE,ws-chelsea_duran,CHELSEA,DURAN,Arlington
liz_frost,10.16.231.101,Devices,in,F3:87:F9:15:D7:2D,ws-liz_frost,LIZ,FROST,Bangalore
darrell_hayden,10.14.253.115,Quarantine,il,AD:07:1F:B8:C2:99,ws-darrell_hayden,DARRELL,HAYDEN,Tel Aviv
olen_wolf,10.10.122.39,Test,fr,C0:F8:3D:D6:D6:A7,ws-olen_wolf,OLEN,WOLF,Paris
heather_chan,10.13.247.198,GOO,sg,57:3D:F1:78:20:12,ws-heather_chan,HEATHER,CHAN,Singapore
estella_carson,10.14.166.84,Groups,il,CD:5F:BC:CB:F6:40,ws-estella_carson,ESTELLA,CARSON,Tel Aviv
zachery_lang,10.5.236.4,T0-Accounts,gb,6E:DF:D9:D9:07:B5,ws-zachery_lang,ZACHERY,LANG,Reading
erin_fuller,10.6.28.44,Devices,ie,18:7A:A5:FF:2B:64,ws-erin_fuller,ERIN,FULLER,Belfast
carol_bridges,10.3.71.112,ServiceAccounts,us,85:70:37:17:88:52,ws-carol_bridges,CAROL,BRIDGES,Austin
liz_mercado,10.8.96.49,Test,ie,83:B2:A6:08:AB:48,ws-liz_mercado,LIZ,MERCADO,Galway
mauricio_spencer,10.7.44.7,ServiceAccounts,ie,EE:FE:92:98:AA:87,ws-mauricio_spencer,MAURICIO,SPENCER,Dublin
byron_moore,10.9.93.117,T2-Permissions,de,25:4E:07:6C:ED:F6,ws-byron_moore,BYRON,MOORE,Munich
rex_rosa,10.9.218.42,Test,de,0E:E4:6C:78:5B:8E,ws-rex_rosa,REX,ROSA,Munich
cecil_diaz,10.1.135.40,Test,us,20:F6:F4:8D:51:9A,ws-cecil_diaz,CECIL,DIAZ,Boston
edmund_levy,10.13.234.169,ServiceAccounts,sg,E7:43:85:01:04:94,ws-edmund_levy,EDMUND,LEVY,Singapore
sofia_santana,10.4.212.201,ServiceAccounts,us,FF:5B:00:56:D0:DF,ws-sofia_santana,SOFIA,SANTANA,Tampa
roland_roberts,10.11.84.201,ServiceAccounts,cz,73:87:10:1E:FA:B2,ws-roland_roberts,ROLAND,ROBERTS,Prague
claudine_gross,10.8.187.175,ServiceAccounts,ie,1A:DB:D8:27:86:8E,ws-claudine_gross,CLAUDINE,GROSS,Galway
abel_winters,10.4.233.79,ITS,us,06:77:4F:D7:6E:7A,ws-abel_winters,ABEL,WINTERS,Tampa
bettye_watson,10.11.207.16,Devices,cz,CD:D7:0A:2B:ED:85,ws-bettye_watson,BETTYE,WATSON,Prague
darcy_ayers,10.15.189.250,Test,jp,57:E2:1C:8E:4A:43,ws-darcy_ayers,DARCY,AYERS,Tokyo
conrad_crawford,10.12.23.99,Devices,au,4A:F1:26:5C:BB:73,ws-conrad_crawford,CONRAD,CRAWFORD,Melbourne
leland_hardy,10.5.52.39,ServiceAccounts,gb,F1:ED:A3:0F:9F:44,ws-leland_hardy,LELAND,HARDY,Reading
lee_craft,10.14.135.27,ServiceAccounts,il,5E:41:2C:B7:7D:FD,ws-lee_craft,LEE,CRAFT,Tel Aviv
eileen_frye,10.3.122.227,ITS,us,12:69:DC:E7:E6:33,ws-eileen_frye,EILEEN,FRYE,Austin
rodrigo_richard,10.1.25.202,Test,us,79:C3:AC:CA:F6:48,ws-rodrigo_richard,RODRIGO,RICHARD,Boston
alison_romero,10.14.162.195,ServiceAccounts,il,F0:98:5A:E8:2F:F8,ws-alison_romero,ALISON,ROMERO,Tel Aviv
rosetta_kane,10.4.186.68,Unassociated,us,F0:4A:A0:39:45:7A,ws-rosetta_kane,ROSETTA,KANE,Tampa
kristen_wade,10.16.76.182,Test,in,DB:42:83:5D:8F:5A,ws-kristen_wade,KRISTEN,WADE,Bangalore
emanuel_webster,10.5.138.207,Groups,gb,90:53:9B:E1:E4:21,ws-emanuel_webster,EMANUEL,WEBSTER,Reading
jeffry_flynn,10.2.72.62,Devices,us,52:59:C4:CF:99:16,ws-jeffry_flynn,JEFFRY,FLYNN,Arlington
rodolfo_morse,10.15.175.180,Devices,jp,60:7E:59:8A:38:9E,ws-rodolfo_morse,RODOLFO,MORSE,Tokyo
ross_rosales,10.2.48.220,BDE,us,AC:97:36:23:6D:BB,ws-ross_rosales,ROSS,ROSALES,Arlington
willie_sosa,10.11.116.109,Groups,cz,44:08:3D:51:43:A5,ws-willie_sosa,WILLIE,SOSA,Prague
georgette_knox,10.11.58.97,Devices,cz,BE:6D:E7:E6:DA:81,ws-georgette_knox,GEORGETTE,KNOX,Prague
richard_velazquez,10.2.82.170,ServiceAccounts,us,DC:41:3D:33:DC:8B,ws-richard_velazquez,RICHARD,VELAZQUEZ,Arlington
stefan_reed,10.2.10.83,Devices,us,43:51:F3:D0:27:28,ws-stefan_reed,STEFAN,REED,Arlington
sabrina_wade,10.10.55.127,ServiceAccounts,fr,6D:85:39:79:4A:F2,ws-sabrina_wade,SABRINA,WADE,Paris
lamont_warren,10.5.65.50,ITS,gb,BD:34:0A:28:BF:80,ws-lamont_warren,LAMONT,WARREN,Reading
darrin_hutchinson,10.13.64.209,ServiceAccounts,sg,83:52:30:CC:2E:E1,ws-darrin_hutchinson,DARRIN,HUTCHINSON,Singapore
kitty_dunlap,10.15.240.214,Groups,jp,2C:80:17:2D:0D:9B,ws-kitty_dunlap,KITTY,DUNLAP,Tokyo
ophelia_cain,10.3.153.18,ServiceAccounts,us,19:2D:8F:AA:73:D1,ws-ophelia_cain,OPHELIA,CAIN,Austin
trinidad_carrillo,10.11.193.99,ServiceAccounts,cz,52:C6:03:AC:DF:7D,ws-trinidad_carrillo,TRINIDAD,CARRILLO,Prague
mia_irwin,10.3.26.191,ServiceAccounts,us,4F:3D:36:99:DA:0E,ws-mia_irwin,MIA,IRWIN,Austin
leona_hopkins,10.10.167.250,Test,fr,41:31:3A:15:62:66,ws-leona_hopkins,LEONA,HOPKINS,Paris
amelia_compton,10.6.185.159,ServiceAccounts,ie,69:F0:62:12:23:44,ws-amelia_compton,AMELIA,COMPTON,Belfast
rigoberto_blackwell,10.15.118.187,OGC,jp,53:FC:A5:2C:8E:7B,ws-rigoberto_blackwell,RIGOBERTO,BLACKWELL,Tokyo
roslyn_martinez,10.14.34.96,Devices,il,8F:DD:69:60:E7:F9,ws-roslyn_martinez,ROSLYN,MARTINEZ,Tel Aviv
miranda_meyer,10.6.123.92,T2-Servers,ie,6C:12:B4:14:99:46,ws-miranda_meyer,MIRANDA,MEYER,Belfast
crystal_dawson,10.13.6.65,OGC,sg,01:CC:7F:51:BB:C4,ws-crystal_dawson,CRYSTAL,DAWSON,Singapore
dustin_rivas,10.13.197.15,Test,sg,2C:AB:4B:4F:C6:22,ws-dustin_rivas,DUSTIN,RIVAS,Singapore
leland_fowler,10.9.181.80,BDE,de,28:21:EB:0E:92:EF,ws-leland_fowler,LELAND,FOWLER,Munich
williams_lamb,10.10.51.173,AWS,fr,CA:56:D0:5E:D8:C3,ws-williams_lamb,WILLIAMS,LAMB,Paris
buddy_noble,10.8.125.71,Test,ie,D0:83:3F:5D:94:B3,ws-buddy_noble,BUDDY,NOBLE,Galway
susan_horne,10.5.66.52,Unassociated,gb,06:E7:F5:D9:C2:EE,ws-susan_horne,SUSAN,HORNE,Reading
mai_irwin,10.5.173.83,Test,gb,8A:3A:02:A8:61:66,ws-mai_irwin,MAI,IRWIN,Reading
lakisha_mooney,10.6.228.164,SEC,ie,06:71:9E:51:77:C7,ws-lakisha_mooney,LAKISHA,MOONEY,Belfast
herschel_love,10.11.147.136,ServiceAccounts,cz,AC:16:0D:B1:92:D6,ws-herschel_love,HERSCHEL,LOVE,Prague
silas_jordan,10.14.138.243,Groups,il,42:2C:37:A8:1C:CE,ws-silas_jordan,SILAS,JORDAN,Tel Aviv
catalina_barber,10.1.26.93,Test,us,1C:CD:DA:E5:F6:40,ws-catalina_barber,CATALINA,BARBER,Boston
refugio_key,10.9.209.160,Devices,de,11:34:26:B6:EB:15,ws-refugio_key,REFUGIO,KEY,Munich
dixie_bryan,10.5.202.190,GOO,gb,E1:72:5D:E9:0B:7E,ws-dixie_bryan,DIXIE,BRYAN,Reading
scott_barrett,10.9.141.113,Devices,de,1A:A0:6D:18:EC:D3,ws-scott_barrett,SCOTT,BARRETT,Munich
felix_shepard,10.5.221.43,Devices,gb,A5:4B:B0:15:8D:1C,ws-felix_shepard,FELIX,SHEPARD,Reading
julius_craft,10.10.196.65,Tier 2,fr,1A:09:49:E4:27:2C,ws-julius_craft,JULIUS,CRAFT,Paris
thurman_watkins,10.6.97.63,Admin,ie,1E:10:A6:08:08:AC,ws-thurman_watkins,THURMAN,WATKINS,Belfast
kerry_bass,10.16.127.248,ITS,in,27:CC:A9:30:9A:8B,ws-kerry_bass,KERRY,BASS,Bangalore
cora_hernandez,10.10.123.239,Testing,fr,BB:CD:87:6F:FC:D1,ws-cora_hernandez,CORA,HERNANDEZ,Paris
ada_bradshaw,10.16.56.37,Devices,in,4B:10:3B:49:87:27,ws-ada_bradshaw,ADA,BRADSHAW,Bangalore
terrie_mcgee,10.5.121.200,Groups,gb,DB:88:78:36:25:22,ws-terrie_mcgee,TERRIE,MCGEE,Reading
maritza_gill,10.9.16.238,Test,de,67:D3:9B:F0:06:FB,ws-maritza_gill,MARITZA,GILL,Munich
raymond_foreman,10.5.47.126,Devices,gb,9C:F0:DF:08:FD:B8,ws-raymond_foreman,RAYMOND,FOREMAN,Reading
lola_burch,10.12.171.160,OGC,au,85:30:37:0F:55:3C,ws-lola_burch,LOLA,BURCH,Melbourne
alberto_landry,10.6.1.185,TST,ie,52:5B:FA:BD:53:11,ws-alberto_landry,ALBERTO,LANDRY,Belfast
joseph_boone,10.6.247.55,Groups,ie,06:AB:71:0A:9E:3C,ws-joseph_boone,JOSEPH,BOONE,Belfast
erin_chaney,10.11.43.246,SEC,cz,68:5B:B1:C1:A5:60,ws-erin_chaney,ERIN,CHANEY,Prague
harriett_thompson,10.13.146.66,ITS,sg,5F:6D:BE:E8:61:0E,ws-harriett_thompson,HARRIETT,THOMPSON,Singapore
miguel_blake,10.6.49.73,ITS,ie,6F:90:3F:25:01:CE,ws-miguel_blake,MIGUEL,BLAKE,Belfast
claudine_brewer,10.6.3.58,ServiceAccounts,ie,85:F3:72:C5:2E:0C,ws-claudine_brewer,CLAUDINE,BREWER,Belfast
stacey_baldwin,10.9.94.230,Devices,de,CC:A8:97:9F:22:54,ws-stacey_baldwin,STACEY,BALDWIN,Munich
erin_callahan,10.3.152.223,ServiceAccounts,us,34:FC:B7:A2:72:80,ws-erin_callahan,ERIN,CALLAHAN,Austin
deandre_ochoa,10.10.163.189,Devices,fr,18:FA:A5:11:9A:B2,ws-deandre_ochoa,DEANDRE,OCHOA,Paris
bridgett_atkins,10.9.146.8,Admin,de,D4:00:3B:BA:22:D1,ws-bridgett_atkins,BRIDGETT,ATKINS,Munich
janette_newton,10.11.37.40,T2-Accounts,cz,3A:74:98:ED:DB:A0,ws-janette_newton,JANETTE,NEWTON,Prague
amos_justice,10.8.33.227,ServiceAccounts,ie,AA:82:D2:16:02:BF,ws-amos_justice,AMOS,JUSTICE,Galway
genevieve_christense,10.15.94.17,Devices,jp,C3:88:7A:F0:43:F2,ws-genevieve_christense,GENEVIEVE,CHRISTENSE,Tokyo
hank_nieves,10.5.245.76,Devices,gb,9D:1E:B4:3E:2C:08,ws-hank_nieves,HANK,NIEVES,Reading
lucio_nichols,10.7.179.40,Groups,ie,85:85:0D:E5:D6:C4,ws-lucio_nichols,LUCIO,NICHOLS,Dublin
weston_butler,10.9.145.102,T2-Devices,de,F9:E6:3E:C8:F0:09,ws-weston_butler,WESTON,BUTLER,Munich
landon_singleton,10.4.220.83,Groups,us,D5:CC:6B:F2:33:82,ws-landon_singleton,LANDON,SINGLETON,Tampa
wilfred_vincent,10.8.246.115,ESM,ie,A7:5D:F4:B4:47:BF,ws-wilfred_vincent,WILFRED,VINCENT,Galway
lenora_ross,10.11.121.239,ServiceAccounts,cz,C7:0D:62:36:4F:61,ws-lenora_ross,LENORA,ROSS,Prague
aaron_rosales,10.15.186.125,Test,jp,EF:24:B9:74:1E:59,ws-aaron_rosales,AARON,ROSALES,Tokyo
ismael_davenport,10.15.58.51,ServiceAccounts,jp,F0:F6:15:C3:A1:30,ws-ismael_davenport,ISMAEL,DAVENPORT,Tokyo
rolland_richmond,10.4.60.46,Devices,us,F3:BB:81:C2:83:78,ws-rolland_richmond,ROLLAND,RICHMOND,Tampa
kaitlin_grimes,10.10.140.116,ServiceAccounts,fr,B7:A7:FD:E3:E4:3D,ws-kaitlin_grimes,KAITLIN,GRIMES,Paris
jamie_kirby,10.9.215.237,Test,de,39:66:7D:52:CD:B4,ws-jamie_kirby,JAMIE,KIRBY,Munich
aurora_olsen,10.14.64.237,FIN,il,DD:45:77:FD:BA:B0,ws-aurora_olsen,AURORA,OLSEN,Tel Aviv
thomas_hoffman,10.3.83.175,Devices,us,99:9B:79:80:B9:BC,ws-thomas_hoffman,THOMAS,HOFFMAN,Austin
wallace_hall,10.15.110.96,Groups,jp,98:8E:6B:E2:55:1D,ws-wallace_hall,WALLACE,HALL,Tokyo
eduardo_vaughn,10.3.116.2,ServiceAccounts,us,D8:F7:28:43:ED:24,ws-eduardo_vaughn,EDUARDO,VAUGHN,Austin
edgar_morrison,10.7.105.86,Quarantine,ie,86:18:60:28:3A:94,ws-edgar_morrison,EDGAR,MORRISON,Dublin
kirk_rosario,10.11.221.89,FIN,cz,59:13:D4:16:95:59,ws-kirk_rosario,KIRK,ROSARIO,Prague
emilio_gordon,10.16.82.124,Domain Controllers,in,65:E8:D9:34:5B:E9,ws-emilio_gordon,EMILIO,GORDON,Bangalore
sheena_ramos,10.4.211.91,FIN,us,0A:EE:76:D4:5C:29,ws-sheena_ramos,SHEENA,RAMOS,Tampa
delmar_armstrong,10.8.133.198,Groups,ie,4C:7B:5A:E0:5C:ED,ws-delmar_armstrong,DELMAR,ARMSTRONG,Galway
iva_hayes,10.15.18.30,HRE,jp,3D:95:E3:DB:06:70,ws-iva_hayes,IVA,HAYES,Tokyo
jarred_murphy,10.9.244.109,Test,de,00:43:21:58:34:10,ws-jarred_murphy,JARRED,MURPHY,Munich
nora_whitaker,10.16.6.134,AWS,in,B6:64:31:06:61:C1,ws-nora_whitaker,NORA,WHITAKER,Bangalore
brice_mercer,10.16.121.233,ServiceAccounts,in,8B:75:0E:48:40:94,ws-brice_mercer,BRICE,MERCER,Bangalore
kristin_ayers,10.9.23.191,Groups,de,6F:D8:52:76:29:08,ws-kristin_ayers,KRISTIN,AYERS,Munich
erich_villarreal,10.2.166.189,TST,us,9A:5E:35:1F:0C:91,ws-erich_villarreal,ERICH,VILLARREAL,Arlington
bettye_burks,10.8.94.232,ServiceAccounts,ie,2F:D9:58:4B:E0:D2,ws-bettye_burks,BETTYE,BURKS,Galway
