nameuser,ipint,usergroup,country,usermac,userworkstation,firstname,lastname,usercity
alfonzo_woods,10.12.201.113,Groups,au,33:31:E9:82:2F:26,ws-alfonzo_woods,ALFONZO,WOODS,Melbourne
margery_snow,10.14.198.157,Groups,il,84:6E:69:4D:8E:02,ws-margery_snow,MARGERY,SNOW,Tel Aviv
katrina_franks,10.3.245.225,FIN,us,8D:D2:D6:76:4B:5C,ws-katrina_franks,KATRINA,FRANKS,Austin
latonya_pittman,10.2.128.238,Groups,us,6D:0F:87:46:C7:9E,ws-latonya_pittman,LATONYA,PITTMAN,Arlington
nola_carroll,10.4.58.222,Test,us,97:B2:AE:A5:D1:17,ws-nola_carroll,NOLA,CARROLL,Tampa
august_huffman,10.15.14.233,Groups,jp,F5:06:FC:F8:BC:89,ws-august_huffman,AUGUST,HUFFMAN,Tokyo
pam_baldwin,10.8.161.238,Devices,ie,03:D5:52:5D:EC:E5,ws-pam_baldwin,PAM,BALDWIN,Galway
felecia_peterson,10.12.116.150,AWS,au,E2:A4:25:CD:2F:E9,ws-felecia_peterson,FELECIA,PETERSON,Melbourne
queen_guthrie,10.3.149.11,HRE,us,9A:38:E6:A7:76:1A,ws-queen_guthrie,QUEEN,GUTHRIE,Austin
dario_leonard,10.14.61.60,Devices,il,70:93:FE:42:56:ED,ws-dario_leonard,DARIO,LEONARD,Tel Aviv
tabitha_morton,10.14.102.146,Devices,il,67:5F:40:59:56:0B,ws-tabitha_morton,TABITHA,MORTON,Tel Aviv
patty_hines,10.1.76.244,Devices,us,67:C5:6B:7E:9B:86,ws-patty_hines,PATTY,HINES,Boston
thad_cannon,10.5.183.52,Test,gb,50:F5:5F:33:75:12,ws-thad_cannon,THAD,CANNON,Reading
faye_burton,10.12.145.203,BDE,au,8F:2B:F4:6A:A3:2F,ws-faye_burton,FAYE,BURTON,Melbourne
robbie_barton,10.2.26.5,ServiceAccounts,us,5B:3F:B0:B3:43:1B,ws-robbie_barton,ROBBIE,BARTON,Arlington
letitia_myers,10.15.20.216,T0-Servers,jp,E4:99:EC:79:F6:26,ws-letitia_myers,LETITIA,MYERS,Tokyo
gloria_noel,10.4.134.199,AWS,us,73:F0:C1:D5:28:67,ws-gloria_noel,GLORIA,NOEL,Tampa
avis_lara,10.12.20.251,Groups,au,18:A9:23:07:B9:6D,ws-avis_lara,AVIS,LARA,Melbourne
marlon_dickerson,10.12.27.54,OGC,au,A8:39:6F:03:E5:E6,ws-marlon_dickerson,MARLON,DICKERSON,Melbourne
armand_schwartz,10.10.125.66,Test,fr,D5:B0:B9:7D:6B:85,ws-armand_schwartz,ARMAND,SCHWARTZ,Paris
serena_leon,10.7.211.22,ServiceAccounts,ie,CD:1D:51:CD:06:13,ws-serena_leon,SERENA,LEON,Dublin
doug_patrick,10.7.191.5,ServiceAccounts,ie,77:C0:96:E6:10:19,ws-doug_patrick,DOUG,PATRICK,Dublin
lula_travis,10.16.192.145,FIN,in,44:C9:67:A0:04:19,ws-lula_travis,LULA,TRAVIS,Bangalore
lee_gutierrez,10.10.87.190,Test,fr,1E:98:83:82:A5:92,ws-lee_gutierrez,LEE,GUTIERREZ,Paris
federico_powers,10.2.198.248,Devices,us,17:E6:CD:14:3F:2B,ws-federico_powers,FEDERICO,POWERS,Arlington
tyler_nielsen,10.5.75.63,Devices,gb,7B:B9:0B:CA:1D:3F,ws-tyler_nielsen,TYLER,NIELSEN,Reading
sal_woodard,10.5.4.76,ServiceAccounts,gb,84:A4:B3:AA:E8:2E,ws-sal_woodard,SAL,WOODARD,Reading
linwood_hart,10.8.54.165,T2-Devices,ie,1D:0A:20:36:8C:7D,ws-linwood_hart,LINWOOD,HART,Galway
lacy_avery,10.6.31.234,Test,ie,29:2B:91:CA:FE:F2,ws-lacy_avery,LACY,AVERY,Belfast
jacob_vance,10.4.164.49,Devices,us,C4:C5:55:3D:B5:53,ws-jacob_vance,JACOB,VANCE,Tampa
consuelo_norris,10.9.176.133,Devices,de,47:A5:22:61:9C:06,ws-consuelo_norris,CONSUELO,NORRIS,Munich
augustine_whitney,10.11.142.113,ServiceAccounts,cz,5F:73:79:9B:27:28,ws-augustine_whitney,AUGUSTINE,WHITNEY,Prague
jayson_stanton,10.6.148.180,Test,ie,C5:3D:E7:CB:53:C1,ws-jayson_stanton,JAYSON,STANTON,Belfast
young_carlson,10.9.154.223,Test,de,72:04:D2:B6:A7:73,ws-young_carlson,YOUNG,CARLSON,Munich
fanny_dillon,10.5.136.18,GOO,gb,FB:1A:B9:A1:61:BC,ws-fanny_dillon,FANNY,DILLON,Reading
faith_pate,10.16.242.36,ServiceAccounts,in,1E:99:94:0C:04:21,ws-faith_pate,FAITH,PATE,Bangalore
esteban_trujillo,10.13.41.137,Groups,sg,11:DA:2C:38:57:8C,ws-esteban_trujillo,ESTEBAN,TRUJILLO,Singapore
eli_evans,10.15.69.195,AWS,jp,43:8B:7F:A8:1B:AF,ws-eli_evans,ELI,EVANS,Tokyo
dana_kerr,10.15.122.240,Devices,jp,40:CC:3C:2E:68:24,ws-dana_kerr,DANA,KERR,Tokyo
carey_oliver,10.5.218.249,Groups,gb,8E:45:CD:D7:99:5A,ws-carey_oliver,CAREY,OLIVER,Reading
bobby_giles,10.9.48.118,Devices,de,05:63:40:02:CE:B6,ws-bobby_giles,BOBBY,GILES,Munich
margery_kramer,10.6.20.62,Groups,ie,A8:B9:90:6E:79:E1,ws-margery_kramer,MARGERY,KRAMER,Belfast
trey_houston,10.10.212.249,ServiceAccounts,fr,2B:32:67:AA:8E:C4,ws-trey_houston,TREY,HOUSTON,Paris
daren_nixon,10.2.1.140,ServiceAccounts,us,75:07:7C:DA:C6:A8,ws-daren_nixon,DAREN,NIXON,Arlington
patti_hewitt,10.7.105.77,ServiceAccounts,ie,8C:9E:88:01:AC:98,ws-patti_hewitt,PATTI,HEWITT,Dublin
lemuel_beard,10.13.179.133,HRE,sg,CB:20:EE:C1:77:E8,ws-lemuel_beard,LEMUEL,BEARD,Singapore
kellie_campos,10.13.225.236,ServiceAccounts,sg,42:54:DA:79:F4:04,ws-kellie_campos,KELLIE,CAMPOS,Singapore
erin_mckinney,10.11.179.135,ServiceAccounts,cz,AA:1D:EE:33:99:E6,ws-erin_mckinney,ERIN,MCKINNEY,Prague
kendra_christian,10.2.226.54,Groups,us,F7:E5:8E:1D:55:A5,ws-kendra_christian,KENDRA,CHRISTIAN,Arlington
anton_mcconnell,10.8.246.162,T2-Accounts,ie,42:F4:4C:88:50:89,ws-anton_mcconnell,ANTON,MCCONNELL,Galway
claudio_guzman,10.7.34.121,Devices,ie,DC:FA:11:88:67:71,ws-claudio_guzman,CLAUDIO,GUZMAN,Dublin
sharon_rodriguez,10.7.207.85,Unassociated,ie,63:CB:BD:89:61:96,ws-sharon_rodriguez,SHARON,RODRIGUEZ,Dublin
lindsey_rivera,10.1.157.188,T2-Devices,us,03:39:F6:C8:E6:FF,ws-lindsey_rivera,LINDSEY,RIVERA,Boston
silas_compton,10.3.54.101,Test,us,6A:92:A3:B5:05:CA,ws-silas_compton,SILAS,COMPTON,Austin
douglas_roberson,10.12.61.133,Test,au,57:4D:64:D1:AB:AC,ws-douglas_roberson,DOUGLAS,ROBERSON,Melbourne
clyde_dawson,10.2.164.52,Groups,us,F0:7A:63:AF:0C:F0,ws-clyde_dawson,CLYDE,DAWSON,Arlington
kathie_morgan,10.15.9.41,Domain Controllers,jp,E9:0B:93:7D:F7:DE,ws-kathie_morgan,KATHIE,MORGAN,Tokyo
harriett_burns,10.14.115.251,ServiceAccounts,il,B5:23:4F:8C:55:49,ws-harriett_burns,HARRIETT,BURNS,Tel Aviv
shaun_yang,10.14.116.152,ServiceAccounts,il,05:75:8D:8E:82:22,ws-shaun_yang,SHAUN,YANG,Tel Aviv
derrick_rollins,10.10.141.42,Test,fr,46:43:0B:C4:A5:FB,ws-derrick_rollins,DERRICK,ROLLINS,Paris
gerald_goodwin,10.10.172.24,Groups,fr,AC:2F:46:B2:97:06,ws-gerald_goodwin,GERALD,GOODWIN,Paris
walter_banks,10.10.101.85,ServiceAccounts,fr,DA:18:6A:E2:60:B6,ws-walter_banks,WALTER,BANKS,Paris
errol_villarreal,10.10.51.246,ServiceAccounts,fr,AE:64:F9:D8:40:6B,ws-errol_villarreal,ERROL,VILLARREAL,Paris
terrence_anderson,10.12.238.80,Groups,au,3B:A0:7F:B4:10:F4,ws-terrence_anderson,TERRENCE,ANDERSON,Melbourne
virginia_whitehead,10.5.23.203,ServiceAccounts,gb,CA:60:57:E2:E7:B7,ws-virginia_whitehead,VIRGINIA,WHITEHEAD,Reading
gladys_jacobson,10.9.17.99,TST,de,2D:BA:EF:D1:D5:88,ws-gladys_jacobson,GLADYS,JACOBSON,Munich
cheryl_gilbert,10.13.241.167,HRE,sg,3D:2A:2C:6F:40:2B,ws-cheryl_gilbert,CHERYL,GILBERT,Singapore
harrison_banks,10.5.109.159,Groups,gb,54:5B:40:D3:38:51,ws-harrison_banks,HARRISON,BANKS,Reading
carmelo_frederick,10.6.53.19,Groups,ie,FD:11:D5:C2:98:DF,ws-carmelo_frederick,CARMELO,FREDERICK,Belfast
jason_peck,10.2.187.37,Devices,us,75:CC:D1:AD:EF:D0,ws-jason_peck,JASON,PECK,Arlington
carlton_soto,10.9.73.12,ESM,de,C9:FE:95:F0:6D:F8,ws-carlton_soto,CARLTON,SOTO,Munich
heather_mann,10.9.108.158,BDE,de,AA:C6:0C:FE:1A:2C,ws-heather_mann,HEATHER,MANN,Munich
norberto_livingston,10.5.140.246,AWS,gb,2B:58:E2:0E:DB:DC,ws-norberto_livingston,NORBERTO,LIVINGSTON,Reading
jean_mckenzie,10.9.221.230,ServiceAccounts,de,30:89:5D:2E:AF:61,ws-jean_mckenzie,JEAN,MCKENZIE,Munich
janine_david,10.6.99.30,Devices,ie,7F:EB:F2:E9:C7:B0,ws-janine_david,JANINE,DAVID,Belfast
hugo_chambers,10.5.216.192,T0-Roles,gb,E0:4A:7B:99:59:5D,ws-hugo_chambers,HUGO,CHAMBERS,Reading
darla_allen,10.13.246.73,AWS-Labs,sg,BF:1B:A5:A9:76:57,ws-darla_allen,DARLA,ALLEN,Singapore
clark_pitts,10.12.110.214,AWS,au,BB:7A:EC:7F:53:22,ws-clark_pitts,CLARK,PITTS,Melbourne
bettye_holman,10.5.111.157,Groups,gb,8B:9D:3C:27:67:E0,ws-bettye_holman,BETTYE,HOLMAN,Reading
horacio_coffey,10.16.91.199,Groups,in,60:42:11:4E:E1:74,ws-horacio_coffey,HORACIO,COFFEY,Bangalore
andrew_watson,10.3.101.243,Groups,us,BF:09:C4:50:FA:3F,ws-andrew_watson,ANDREW,WATSON,Austin
abigail_humphrey,10.1.225.142,T0-Accounts,us,FC:FF:DB:12:B6:71,ws-abigail_humphrey,ABIGAIL,HUMPHREY,Boston
frankie_baker,10.8.131.46,SEC,ie,38:BC:FD:0A:E3:79,ws-frankie_baker,FRANKIE,BAKER,Galway
ernie_decker,10.6.52.24,ServiceAccounts,ie,6E:F5:3B:BB:E6:F4,ws-ernie_decker,ERNIE,DECKER,Belfast
harvey_hahn,10.9.185.58,Groups,de,66:DA:C8:BF:80:81,ws-harvey_hahn,HARVEY,HAHN,Munich
constance_ware,10.15.81.9,Groups,jp,4B:00:93:19:D0:D1,ws-constance_ware,CONSTANCE,WARE,Tokyo
monica_stout,10.6.109.13,AWS,ie,FB:ED:B8:FB:27:D9,ws-monica_stout,MONICA,STOUT,Belfast
anastasia_lyons,10.11.51.97,Test,cz,E2:70:9E:54:83:7E,ws-anastasia_lyons,ANASTASIA,LYONS,Prague
angelina_kerr,10.15.240.151,Devices,jp,A9:AC:AC:7C:18:A4,ws-angelina_kerr,ANGELINA,KERR,Tokyo
tyrone_byrd,10.7.190.138,Test,ie,B8:56:C0:47:C0:F4,ws-tyrone_byrd,TYRONE,BYRD,Dublin
beverley_morrison,10.6.253.253,Groups,ie,40:CB:FE:DA:AA:CC,ws-beverley_morrison,BEVERLEY,MORRISON,Belfast
tabitha_warner,10.9.126.88,Admin,de,9B:7D:94:B8:5D:08,ws-tabitha_warner,TABITHA,WARNER,Munich
weldon_norris,10.5.115.159,Groups,gb,44:6A:4C:5A:21:36,ws-weldon_norris,WELDON,NORRIS,Reading
max_pugh,10.16.67.51,ServiceAccounts,in,97:82:89:97:4E:32,ws-max_pugh,MAX,PUGH,Bangalore
debbie_ortega,10.16.16.126,Test,in,2D:36:05:5E:28:3A,ws-debbie_ortega,DEBBIE,ORTEGA,Bangalore
mollie_bishop,10.15.96.151,T1-Devices,jp,E5:EA:22:56:F1:FB,ws-mollie_bishop,MOLLIE,BISHOP,Tokyo
levi_clemons,10.15.60.39,T2-Accounts,jp,93:21:A2:38:3A:E4,ws-levi_clemons,LEVI,CLEMONS,Tokyo
weldon_lucas,10.13.229.101,Test,sg,14:9A:86:52:ED:37,ws-weldon_lucas,WELDON,LUCAS,Singapore
josefa_roberson,10.13.83.61,Test,sg,2D:34:BA:62:53:4A,ws-josefa_roberson,JOSEFA,ROBERSON,Singapore
nathaniel_mccullough,10.9.93.197,Groups,de,E8:6D:42:CA:A3:69,ws-nathaniel_mccullough,NATHANIEL,MCCULLOUGH,Munich
pauline_ruiz,10.3.119.11,Devices,us,81:F7:E6:A7:67:7D,ws-pauline_ruiz,PAULINE,RUIZ,Austin
johnathan_ferguson,10.3.27.5,Groups,us,21:62:61:78:36:CB,ws-johnathan_ferguson,JOHNATHAN,FERGUSON,Austin
opal_wells,10.11.120.207,Devices,cz,5C:A1:3E:C2:C4:D5,ws-opal_wells,OPAL,WELLS,Prague
rosella_chaney,10.10.183.185,AWS,fr,D2:BC:56:C7:0E:C2,ws-rosella_chaney,ROSELLA,CHANEY,Paris
sanford_hays,10.9.180.107,Groups,de,48:55:92:CB:5F:7F,ws-sanford_hays,SANFORD,HAYS,Munich
donna_doyle,10.11.179.86,OGC,cz,99:AB:B6:DC:B2:EE,ws-donna_doyle,DONNA,DOYLE,Prague
luisa_prince,10.12.52.40,ServiceAccounts,au,D8:8D:9E:01:88:A3,ws-luisa_prince,LUISA,PRINCE,Melbourne
melisa_whitfield,10.13.241.155,Test,sg,88:4C:DA:71:1F:42,ws-melisa_whitfield,MELISA,WHITFIELD,Singapore
marcie_woodard,10.14.92.182,Devices,il,A1:FD:D2:89:9C:CB,ws-marcie_woodard,MARCIE,WOODARD,Tel Aviv
rufus_douglas,10.12.71.133,T1-Roles,au,17:5F:76:6E:E7:89,ws-rufus_douglas,RUFUS,DOUGLAS,Melbourne
cathleen_doyle,10.8.230.250,Unassociated,ie,FD:42:3E:48:07:3C,ws-cathleen_doyle,CATHLEEN,DOYLE,Galway
marshall_ayers,10.14.186.79,SEC,il,B4:5E:53:53:04:5F,ws-marshall_ayers,MARSHALL,AYERS,Tel Aviv
wm_ramos,10.7.232.228,Stage,ie,9E:15:6B:32:AB:73,ws-wm_ramos,WM,RAMOS,Dublin
chandra_fisher,10.16.12.159,ServiceAccounts,in,30:6A:02:01:62:05,ws-chandra_fisher,CHANDRA,FISHER,Bangalore
micheal_welch,10.2.79.89,AWS,us,99:7E:98:74:1D:87,ws-micheal_welch,MICHEAL,WELCH,Arlington
rachael_taylor,10.13.213.72,ServiceAccounts,sg,58:78:3B:38:DB:4E,ws-rachael_taylor,RACHAEL,TAYLOR,Singapore
johnny_howard,10.1.138.178,Test,us,77:76:FC:57:2E:D4,ws-johnny_howard,JOHNNY,HOWARD,Boston
otis_holloway,10.9.252.90,ITS,de,74:37:0A:8A:77:7D,ws-otis_holloway,OTIS,HOLLOWAY,Munich
cecil_ray,10.11.5.151,Test,cz,CB:63:F5:08:17:70,ws-cecil_ray,CECIL,RAY,Prague
violet_mcconnell,10.6.236.37,Devices,ie,33:91:70:7C:B6:A3,ws-violet_mcconnell,VIOLET,MCCONNELL,Belfast
otis_sellers,10.11.162.197,Devices,cz,71:51:F2:56:5A:03,ws-otis_sellers,OTIS,SELLERS,Prague
shanna_carson,10.6.45.13,Groups,ie,39:D3:B4:20:85:D3,ws-shanna_carson,SHANNA,CARSON,Belfast
gino_watkins,10.11.191.19,Test,cz,FE:8C:85:97:27:94,ws-gino_watkins,GINO,WATKINS,Prague
queen_dominguez,10.13.122.138,SEC,sg,0D:0A:99:B7:44:A3,ws-queen_dominguez,QUEEN,DOMINGUEZ,Singapore
gilda_blanchard,10.2.242.230,Groups,us,33:6A:B3:C6:D1:AF,ws-gilda_blanchard,GILDA,BLANCHARD,Arlington
brooks_robinson,10.2.44.116,FSR,us,23:EF:5A:D5:2A:80,ws-brooks_robinson,BROOKS,ROBINSON,Arlington
woodrow_chen,10.7.20.82,People,ie,3C:A7:08:30:04:CE,ws-woodrow_chen,WOODROW,CHEN,Dublin
franklin_joseph,10.15.4.123,AWS,jp,76:F5:88:0B:07:59,ws-franklin_joseph,FRANKLIN,JOSEPH,Tokyo
jo_saunders,10.7.181.65,Devices,ie,33:BD:08:E0:C1:1B,ws-jo_saunders,JO,SAUNDERS,Dublin
tessa_schwartz,10.3.104.208,OGC,us,61:2C:31:94:14:57,ws-tessa_schwartz,TESSA,SCHWARTZ,Austin
kim_blackburn,10.7.8.212,SEC,ie,40:78:56:98:D8:68,ws-kim_blackburn,KIM,BLACKBURN,Dublin
marissa_curtis,10.1.36.185,Groups,us,D2:2F:B5:DB:84:E2,ws-marissa_curtis,MARISSA,CURTIS,Boston
lynn_castillo,10.9.35.34,Test,de,09:D9:4E:3F:A4:52,ws-lynn_castillo,LYNN,CASTILLO,Munich
carroll_morris,10.15.152.61,Groups,jp,F6:77:A8:50:9A:65,ws-carroll_morris,CARROLL,MORRIS,Tokyo
edgar_ayers,10.14.235.74,Test,il,03:4C:C6:11:49:34,ws-edgar_ayers,EDGAR,AYERS,Tel Aviv
brigitte_peters,10.4.79.54,.SecFrame.com,us,66:FD:96:30:A1:D9,ws-brigitte_peters,BRIGITTE,PETERS,Tampa
kristina_barrera,10.1.83.3,Groups,us,90:2D:DF:E6:3F:80,ws-kristina_barrera,KRISTINA,BARRERA,Boston
jeffrey_browning,10.5.174.70,Tier 1,gb,A5:7A:FB:5A:8E:F2,ws-jeffrey_browning,JEFFREY,BROWNING,Reading
marquita_oneill,10.15.115.86,Devices,jp,C1:C3:33:70:A4:70,ws-marquita_oneill,MARQUITA,ONEILL,Tokyo
lawrence_chen,10.7.102.71,T1-Devices,ie,6A:35:8A:01:01:DB,ws-lawrence_chen,LAWRENCE,CHEN,Dublin
twila_moss,10.16.162.44,ServiceAccounts,in,C1:28:E2:73:A5:E9,ws-twila_moss,TWILA,MOSS,Bangalore
sidney_humphrey,10.9.92.98,Test,de,95:28:29:03:00:C8,ws-sidney_humphrey,SIDNEY,HUMPHREY,Munich
arline_montoya,10.6.17.197,TST,ie,F0:D6:8A:AE:5B:7D,ws-arline_montoya,ARLINE,MONTOYA,Belfast
rodney_hernandez,10.13.71.103,ServiceAccounts,sg,BB:30:9F:F5:2A:5C,ws-rodney_hernandez,RODNEY,HERNANDEZ,Singapore
josef_gonzalez,10.10.148.66,Devices,fr,BD:E6:87:EB:DA:67,ws-josef_gonzalez,JOSEF,GONZALEZ,Paris
